
2024/06/14 (11:24:50) | ===> btop++ v.1.3.2
2024/06/14 (11:24:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/14 (11:25:13) | ===> btop++ v.1.3.2
2024/06/14 (11:25:13) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/18 (14:07:29) | ===> btop++ v.1.3.2
2024/06/18 (14:07:29) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/29 (22:07:16) | ===> btop++ v.1.3.2
2024/06/29 (22:07:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/01 (08:02:16) | ===> btop++ v.1.3.2
2024/07/01 (08:02:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/01 (08:04:10) | ===> btop++ v.1.3.2
2024/07/01 (08:04:10) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
